model_id,display_name,provider,curve_profile,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_score,score_lower,score_upper
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,64,0.010328152519305078,0.1816046339279317,0.6347790076234366,0.1732882059293266,56.652108064220485,42.652108064220485,70.65210806422049
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,65,0.009125637389180596,0.164162568540146,0.6347790076234365,0.19193278644723685,55.3971301556513,41.3971301556513,69.3971301556513
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,66,0.008061991528271584,0.14804290591718583,0.6318262981974372,0.21206880435710537,54.137489685927896,40.137489685927896,68.1374896859279
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,67,0.00712142874573507,0.13321482074434798,0.6259573935958765,0.23370635691404038,52.87121584557637,38.871215845576366,66.87121584557637
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,68,0.006289902136892511,0.1196328626982398,0.6172452437773488,0.25683199138751894,51.59676914389018,37.59676914389017,65.59676914389017
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,69,0.005554924703691011,0.1072404815792023,0.605798986287963,0.28140560742914367,50.313254453962585,36.313254453962585,64.31325445396259
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,70,0.004905405705722066,0.09597321702433459,0.5917633604046797,0.3073580168652637,49.02060102981274,35.02060102981274,63.02060102981274
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,71,0.004331502020563871,0.08576149194138794,0.5753175647848623,0.33458944125318585,47.719697717488785,33.719697717488785,61.719697717488785
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,72,0.0038244836446372776,0.07653298517756979,0.5566733256581762,0.3629692055196167,46.412473501084214,32.412473501084214,60.41247350108422
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,73,0.0033766123817393634,0.06821458706281303,0.5360719703883394,0.39233683016710824,45.10191636881963,31.101916368819634,59.10191636881963
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,74,0.002981032729854838,0.060733961522110524,0.5137803709338464,0.42250463481418815,43.79202726131754,29.792027261317543,57.79202726131755
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,75,0.0026316739748845075,0.05402075133308937,0.49008572667664,0.4532618480153861,42.487710399154324,28.48771039915432,56.487710399154324
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,76,0.002323162522631206,0.048007470074845626,0.4652892831255388,0.48438008427698437,41.1946062029623,27.194606202962294,55.194606202962305
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,77,0.00205074353991741,0.04263012673273281,0.4396992140043342,0.5156199157230156,39.91887777192583,25.91887777192583,53.918877771925835
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,78,0.0018102110262026017,0.03782862807476739,0.41362300891441617,0.5467381519846138,38.66696585012394,24.666965850123933,52.66696585012394
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,79,0.0015978454940173137,0.03354700090677598,0.3873597884133949,0.5774953651858118,37.44532980332729,23.445329803327287,51.44532980332729
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,80,0.0014103584966180804,0.029733472038160347,0.36119299963232987,0.6076631698328917,36.26019294361388,22.260192943613877,50.26019294361388
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,81,0.0012448433020884053,0.026340438924701504,0.33538392329282674,0.6370307944803834,35.117309439355076,21.117309439355076,49.117309439355076
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,82,0.0010987310729246857,0.02332435898118268,0.31016635119907876,0.6654105587468139,34.021767206494445,20.021767206494445,48.021767206494445
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,83,0.000969751967782595,0.020645580794865004,0.2857426841026164,0.692641983134736,32.977837039832046,18.977837039832046,46.977837039832046
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,84,0.0008559006367451216,0.018268136114143685,0.2622815706782551,0.7185943925708561,31.98887343279609,17.988873432796087,45.98887343279609
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,85,0.0007554056327294667,0.016159507633997094,0.23991707812079233,0.7431680086124811,31.057267719868857,17.057267719868857,45.05726771986886
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,86,0.0006667023092434832,0.014290384283906499,0.21874927032089042,0.7662936430859596,30.18444994615756,16.18444994615756,44.184449946157564
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,87,0.0005884088185569292,0.01263441293374823,0.19884598260480013,0.7879311956428947,29.370932639581415,15.370932639581413,43.37093263958142
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,88,0.0005193048644950293,0.011167953131199337,0.1802455284515424,0.8080672135527632,28.616387634303635,14.616387634303635,42.616387634303635
gpt-5.6-terra,GPT-5.6 Terra,OpenAI,balanced_frontier,89,0.0004583129006350273,0.009869839618670051,0.1629600534100215,0.8267117940706734,27.919746265126882,13.91974626512688,41.91974626512688
