language_model,difficulty_bin,total_question_count,valid_result_count,resolved_null_count,success_count,failure_count,success_rate,wilson_95_low,wilson_95_high,analysis_definition,representative_model
GPT-5.4,Easy,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,False
GPT-5.4,Medium,166,166,0,132,34,0.7951807228915663,0.7274444190645216,0.8495642847023309,null_as_not_success,False
GPT-5.4,Hard,167,167,0,124,43,0.7425149700598802,0.6712693164739519,0.8028544738468341,null_as_not_success,False
GPT-5.5,Easy,167,167,0,127,40,0.7604790419161677,0.6903565176086636,0.8188875534766252,null_as_not_success,True
GPT-5.5,Medium,166,166,0,135,31,0.8132530120481928,0.7471319732559502,0.8652037940068321,null_as_not_success,True
GPT-5.5,Hard,167,167,0,129,38,0.7724550898203593,0.7031641603554811,0.829493431239476,null_as_not_success,True
Kimi-K2-Thinking,Easy,167,166,1,117,50,0.7005988023952096,0.62726301838929,0.7649134501476564,null_as_not_success,False
Kimi-K2-Thinking,Medium,166,166,0,118,48,0.7108433734939759,0.6377243964163045,0.7744246777028759,null_as_not_success,False
Kimi-K2-Thinking,Hard,167,166,1,111,56,0.6646706586826348,0.5900781601251109,0.7318577468828303,null_as_not_success,False
Kimi-K2.5,Easy,167,167,0,112,55,0.6706586826347305,0.596243518406001,0.7373991488567743,null_as_not_success,False
Kimi-K2.5,Medium,166,165,1,117,49,0.7048192771084337,0.6314328145486011,0.7689405717386028,null_as_not_success,False
Kimi-K2.5,Hard,167,167,0,115,52,0.688622754491018,0.6148159212291527,0.7539470267981253,null_as_not_success,False
Kimi-K2.6,Easy,167,167,0,121,46,0.7245508982035929,0.6523222650634787,0.7866812444928047,null_as_not_success,True
Kimi-K2.6,Medium,166,166,0,130,36,0.7831325301204819,0.7144202040765941,0.8390371240263053,null_as_not_success,True
Kimi-K2.6,Hard,167,167,0,122,45,0.7305389221556886,0.6586229342430538,0.7920873355680638,null_as_not_success,True
Minimax-2.7,Easy,167,167,0,124,43,0.7425149700598802,0.6712693164739519,0.8028544738468341,null_as_not_success,False
Minimax-2.7,Medium,166,166,0,129,37,0.7771084337349398,0.7079365128194199,0.8337451274515029,null_as_not_success,False
Minimax-2.7,Hard,167,167,0,125,42,0.7485029940119761,0.6776156776763093,0.8082148728993112,null_as_not_success,False
MiniMax-M2.1,Easy,167,167,0,112,55,0.6706586826347305,0.596243518406001,0.7373991488567743,null_as_not_success,False
MiniMax-M2.1,Medium,166,166,0,119,47,0.7168674698795181,0.644030185637065,0.779894576314092,null_as_not_success,False
MiniMax-M2.1,Hard,167,167,0,113,54,0.6766467065868264,0.6024214792730895,0.7429279482445201,null_as_not_success,False
MiniMax-M2.5,Easy,167,167,0,118,49,0.7065868263473054,0.6335068419504756,0.7703763868413053,null_as_not_success,False
MiniMax-M2.5,Medium,166,166,0,122,44,0.7349397590361446,0.6630355179440995,0.7962163075029872,null_as_not_success,False
MiniMax-M2.5,Hard,167,167,0,123,44,0.7365269461077845,0.664938513303507,0.7974785167624451,null_as_not_success,False
MiniMax-M3,Easy,167,167,0,126,41,0.7544910179640718,0.6839779520445968,0.8135593587858576,null_as_not_success,True
MiniMax-M3,Medium,166,166,0,130,36,0.7831325301204819,0.7144202040765941,0.8390371240263053,null_as_not_success,True
MiniMax-M3,Hard,167,167,0,126,41,0.7544910179640718,0.6839779520445968,0.8135593587858576,null_as_not_success,True
Nemotron-3-Nano,Easy,167,166,1,55,112,0.32934131736526945,0.2626008511432256,0.4037564815939989,null_as_not_success,False
Nemotron-3-Nano,Medium,166,164,2,55,111,0.3313253012048193,0.2642494217076147,0.4060313189970409,null_as_not_success,False
Nemotron-3-Nano,Hard,167,167,0,61,106,0.3652694610778443,0.29603281967902445,0.44056507458720545,null_as_not_success,False
Nemotron-3-Super,Easy,167,167,0,94,73,0.562874251497006,0.4870663431384297,0.6358546395373296,null_as_not_success,False
Nemotron-3-Super,Medium,166,166,0,108,58,0.6506024096385542,0.5754111294850202,0.7189810663143945,null_as_not_success,False
Nemotron-3-Super,Hard,167,167,0,108,59,0.6467065868263473,0.5716560900945236,0.7151595361489149,null_as_not_success,False
Qwen3-Coder-480B,Easy,167,167,0,96,71,0.5748502994011976,0.49901716259823153,0.6473173405871961,null_as_not_success,False
Qwen3-Coder-480B,Medium,166,166,0,107,59,0.6445783132530121,0.569250005873466,0.7133665020939721,null_as_not_success,False
Qwen3-Coder-480B,Hard,167,167,0,109,58,0.6526946107784432,0.5777845978980096,0.7207377886002633,null_as_not_success,False
Qwen3-Coder-Next,Easy,167,167,0,108,59,0.6467065868263473,0.5716560900945236,0.7151595361489149,null_as_not_success,True
Qwen3-Coder-Next,Medium,166,166,0,115,51,0.6927710843373494,0.6188912914600057,0.7579307191632448,null_as_not_success,True
Qwen3-Coder-Next,Hard,167,167,0,110,57,0.6586826347305389,0.5839252387425599,0.726303908010547,null_as_not_success,True
Qwen3.5-Flash,Easy,167,167,0,100,67,0.5988023952095808,0.5230497337218329,0.6701118104829316,null_as_not_success,False
Qwen3.5-Flash,Medium,166,166,0,106,60,0.6385542168674698,0.5631010068304794,0.7077398133049819,null_as_not_success,False
Qwen3.5-Flash,Hard,167,167,0,104,63,0.6227544910179641,0.5472607265978022,0.6927278586262995,null_as_not_success,False
Qwen3.6-Plus,Easy,167,167,0,123,44,0.7365269461077845,0.664938513303507,0.7974785167624451,null_as_not_success,False
Qwen3.6-Plus,Medium,166,166,0,125,41,0.7530120481927711,0.6821792456442569,0.8123996432987596,null_as_not_success,False
Qwen3.6-Plus,Hard,167,167,0,123,44,0.7365269461077845,0.664938513303507,0.7974785167624451,null_as_not_success,False
Trinity-Large-Thinking,Easy,167,167,0,88,79,0.5269461077844312,0.45147085622721916,0.601209564919535,null_as_not_success,False
Trinity-Large-Thinking,Medium,166,166,0,106,60,0.6385542168674698,0.5631010068304794,0.7077398133049819,null_as_not_success,False
Trinity-Large-Thinking,Hard,167,167,0,90,77,0.5389221556886228,0.46329349901932354,0.612800442637099,null_as_not_success,False
