language_model,question_count,valid_result_count,resolved_null_count,easy_success_rate,medium_success_rate,hard_success_rate,easy_to_hard_drop_pp,monotonic_easy_ge_medium_ge_hard,difficulty_success_spearman,difficulty_failure_spearman,difficulty_failure_roc_auc,analysis_definition,representative_model
GPT-5.4,500,500,0,0.7305389221556886,0.7951807228915663,0.7425149700598802,-1.19760479041916,False,-0.015974256552756805,0.015974256552756805,0.5107338017174082,null_as_not_success,False
GPT-5.5,500,500,0,0.7604790419161677,0.8132530120481928,0.7724550898203593,-1.19760479041916,False,-0.012722687316198442,0.012722687316198442,0.5088927473661982,null_as_not_success,True
Kimi-K2-Thinking,500,500,2,0.7005988023952096,0.7108433734939759,0.6646706586826348,3.59281437125748,False,-0.04034986911495096,0.04034986911495096,0.5252233315817131,null_as_not_success,False
Kimi-K2.5,500,500,1,0.6706586826347305,0.7048192771084337,0.688622754491018,-1.7964071856287456,False,-0.007015241044032546,0.007015241044032546,0.5043697823494335,null_as_not_success,False
Kimi-K2.6,500,500,0,0.7245508982035929,0.7831325301204819,0.7305389221556886,-0.5988023952095745,False,-0.002754235695201891,0.002754235695201891,0.5018260116949189,null_as_not_success,True
Minimax-2.7,500,500,0,0.7425149700598802,0.7771084337349398,0.7485029940119761,-0.5988023952095856,False,-0.006325160170384514,0.006325160170384514,0.5042501517911354,null_as_not_success,False
MiniMax-M2.1,500,500,0,0.6706586826347305,0.7168674698795181,0.6766467065868264,-0.5988023952095856,False,-0.006117768842237337,0.006117768842237337,0.5038107483601669,null_as_not_success,False
MiniMax-M2.5,500,500,0,0.7065868263473054,0.7349397590361446,0.7365269461077845,-2.9940119760479056,False,0.008949940808677127,-0.008949940808677127,0.4942088435784521,null_as_not_success,False
MiniMax-M3,500,500,0,0.7544910179640718,0.7831325301204819,0.7544910179640718,0.0,False,-0.03249449939373778,0.03249449939373778,0.522084923240749,null_as_not_success,True
Nemotron-3-Nano,500,500,3,0.32934131736526945,0.3313253012048193,0.3652694610778443,-3.592814371257486,False,0.023432554485635783,-0.023432554485635783,0.485744503101726,null_as_not_success,False
Nemotron-3-Super,500,500,0,0.562874251497006,0.6506024096385542,0.6467065868263473,-8.383233532934131,False,0.05475439651089008,-0.05475439651089008,0.4674448217317487,null_as_not_success,False
Qwen3-Coder-480B,500,500,0,0.5748502994011976,0.6445783132530121,0.6526946107784432,-7.784431137724557,False,0.04166260534055081,-0.04166260534055081,0.475177304964539,null_as_not_success,False
Qwen3-Coder-Next,500,500,0,0.6467065868263473,0.6927710843373494,0.6586826347305389,-1.19760479041916,False,0.008625197029783394,-0.008625197029783394,0.494722267177357,null_as_not_success,True
Qwen3.5-Flash,500,500,0,0.5988023952095808,0.6385542168674698,0.6227544910179641,-2.395209580838331,False,0.015019980477042075,-0.015019980477042075,0.49106960950764006,null_as_not_success,False
Qwen3.6-Plus,500,500,0,0.7365269461077845,0.7530120481927711,0.7365269461077845,0.0,False,-0.007143417076982511,0.007143417076982511,0.5047117574541884,null_as_not_success,False
Trinity-Large-Thinking,500,500,0,0.5269461077844312,0.6385542168674698,0.5389221556886228,-1.19760479041916,False,-0.0015808973578906947,0.0015808973578906947,0.5009210354720919,null_as_not_success,False
