model_id,difficulty_score,p_low,p_mid,p_mid_high,p_high,estimated_quality,quality_lower,quality_upper,estimate_label
gpt-5.4-mini,8,0.9196425311777929,0.07653298517756987,0.0036333793287594337,0.00019110431587777675,0.829142438360576,0.689142438360576,0.969142438360576,public-benchmark constrained estimate
gpt-5.4-mini,9,0.9099070060380482,0.08576149194138781,0.004114957970668882,0.00021654404989510323,0.8250558709578149,0.6850558709578148,0.9650558709578149,public-benchmark constrained estimate
gpt-5.4-mini,10,0.8991213772699435,0.0959732170243345,0.004660036225179408,0.0002453694805426224,0.82052428758474,0.68052428758474,0.9605242875847401,public-benchmark constrained estimate
gpt-5.4-mini,11,0.8872045937171068,0.10724048157920205,0.0052768937398135875,0.0002780309638775155,0.8155121038709094,0.6755121038709094,0.9555121038709095,public-benchmark constrained estimate
gpt-5.4-mini,12,0.8740772351648677,0.1196328626982398,0.005974863442811144,0.00031503869408133935,0.8099840048321165,0.6699840048321165,0.9499840048321165,public-benchmark constrained estimate
gpt-5.4-mini,13,0.8596637505099168,0.1332148207443481,0.006764458110697443,0.00035697063503765833,0.8039057973236121,0.6639057973236121,0.9439057973236121,public-benchmark constrained estimate
gpt-5.4-mini,14,0.8438951025545426,0.14804290591718577,0.00765751003042956,0.00040448149784208087,0.7972454209210866,0.6572454209210866,0.9372454209210866,public-benchmark constrained estimate
gpt-5.4-mini,15,0.8267117940706734,0.16416256854014605,0.008667324488545482,0.00045831290063503817,0.7899741067360566,0.6499741067360566,0.9299741067360566,public-benchmark constrained estimate
gpt-5.4-mini,16,0.8080672135527632,0.18160463392793158,0.009808847654810264,0.000519304864494927,0.7820676591687176,0.6420676591687176,0.9220676591687176,public-benchmark constrained estimate
gpt-5.4-mini,17,0.7879311956428947,0.2003815463614109,0.011098849177137495,0.0005884088185569393,0.7735078182300644,0.6335078182300644,0.9135078182300644,public-benchmark constrained estimate
gpt-5.4-mini,18,0.7662936430859598,0.22048353516173505,0.012556119443061557,0.00066670230924359,0.7642836408468022,0.6242836408468022,0.9042836408468022,public-benchmark constrained estimate
gpt-5.4-mini,19,0.7431680086124812,0.2418749047943688,0.014201680960420461,0.0007554056327295284,0.7543928202570979,0.6143928202570978,0.8943928202570979,public-benchmark constrained estimate
gpt-5.4-mini,20,0.7185943925708562,0.26449069416241733,0.01605901262998128,0.0008559006367452277,0.7438428457232953,0.6038428457232953,0.8838428457232953,public-benchmark constrained estimate
gpt-5.4-mini,21,0.6926419831347361,0.2882339801143749,0.018154284783106312,0.0009697519677825852,0.7326518934350803,0.5926518934350803,0.8726518934350803,public-benchmark constrained estimate
gpt-5.4-mini,22,0.6654105587468141,0.31297410849053825,0.020516601689723003,0.0010987310729246428,0.7208493369847454,0.5808493369847454,0.8608493369847454,public-benchmark constrained estimate
gpt-5.4-mini,23,0.6370307944803832,0.33854611546550956,0.023178246752018825,0.0012448433020883743,0.7084757751373247,0.5684757751373247,0.8484757751373248,public-benchmark constrained estimate
gpt-5.4-mini,24,0.6076631698328917,0.36475154794031833,0.02617492373017196,0.001410358496618023,0.6955824976712717,0.5555824976712717,0.8355824976712717,public-benchmark constrained estimate
gpt-5.4-mini,25,0.5774953651858119,0.39136080427940967,0.029545985040761117,0.0015978454940173438,0.6822303468795083,0.5422303468795083,0.8222303468795084,public-benchmark constrained estimate
gpt-5.4-mini,26,0.546738151984614,0.41811700161459286,0.03333463537459062,0.0018102110262026487,0.6684879805886813,0.5284879805886813,0.8084879805886813,public-benchmark constrained estimate
gpt-5.4-mini,27,0.5156199157230157,0.44474124517601427,0.03758809556105265,0.002050743539917378,0.6544295975133203,0.5144295975133203,0.7944295975133203,public-benchmark constrained estimate
gpt-5.4-mini,28,0.4843800842769844,0.47093904545036536,0.042357707750018916,0.002323162522631283,0.6401322406742255,0.5001322406742255,0.7801322406742255,public-benchmark constrained estimate
gpt-5.4-mini,29,0.45326184801538627,0.4964075193871369,0.04769895862259228,0.00263167397488458,0.6256728418286496,0.48567284182864956,0.7656728418286496,public-benchmark constrained estimate
gpt-5.4-mini,30,0.4225046348141883,0.5208429398778379,0.053671392578118905,0.0029810327298548972,0.6111252022790896,0.4711252022790896,0.7511252022790896,public-benchmark constrained estimate
gpt-5.4-mini,31,0.3923368301671085,0.5439481755809261,0.060338381870225805,0.0033766123817395013,0.5965571179794431,0.4565571179794431,0.7365571179794431,public-benchmark constrained estimate
gpt-5.4-mini,32,0.36296920551961687,0.5654395950358306,0.06776671579991526,0.0038244836446372104,0.5820278476258832,0.4420278476258832,0.7220278476258832,public-benchmark constrained estimate
gpt-5.4-mini,33,0.334589441253186,0.5850530899246069,0.07602596680164309,0.00433150202056399,0.5675860930476001,0.4275860930476001,0.7075860930476001,public-benchmark constrained estimate
gpt-5.4-mini,34,0.30735801686526387,0.6025489891727843,0.08518758825622978,0.004905405705722035,0.5532686164713585,0.4132686164713585,0.6932686164713585,public-benchmark constrained estimate
gpt-5.4-mini,35,0.2814056074291439,0.6177157698407996,0.09532369802636538,0.005554924703691103,0.5390995658901288,0.39909956589012874,0.6790995658901288,public-benchmark constrained estimate
gpt-5.4-mini,36,0.2568319913875189,0.6303726023295879,0.10650550414600067,0.0062899021368924835,0.5250905250792514,0.38509052507925134,0.6650905250792514,public-benchmark constrained estimate
gpt-5.4-mini,37,0.2337063569140404,0.6403708782508273,0.11880133608939719,0.007121428745735101,0.5112412550774429,0.3712412550774429,0.6512412550774429,public-benchmark constrained estimate
