language_model,question_count,valid_result_count,resolved_null_count,easy_success_rate,medium_success_rate,hard_success_rate,easy_to_hard_drop_pp,monotonic_easy_ge_medium_ge_hard,score_success_spearman,score_failure_roc_auc,analysis_definition,representative_model
Gemini-3-Pro,500,500,0,0.6586826347305389,0.7650602409638554,0.6946107784431138,-3.592814371257491,False,0.06966357587826175,0.4558593975833959,null_as_not_success,False
Gemini-3.1-Pro,500,500,0,0.7604790419161677,0.8132530120481928,0.7365269461077845,2.39520958083832,False,-0.0018932590742249918,0.5012987012987014,null_as_not_success,False
Gemini-3.5-Flash,500,500,0,0.7844311377245509,0.7951807228915663,0.7784431137724551,0.5988023952095745,False,0.029714550642807563,0.4790849206915412,null_as_not_success,True
GLM-4.7,500,500,0,0.7125748502994012,0.7710843373493976,0.718562874251497,-0.5988023952095856,False,0.02532241754596642,0.48345659789801476,null_as_not_success,False
GLM-5,500,500,0,0.7125748502994012,0.7771084337349398,0.7125748502994012,0.0,False,0.031123838284051606,0.4796664686238758,null_as_not_success,False
GLM-5.1,500,500,0,0.7305389221556886,0.7891566265060241,0.7305389221556886,0.0,False,0.021712043424130273,0.48552533333333336,null_as_not_success,True
GPT-5.2,500,500,0,0.718562874251497,0.7891566265060241,0.7305389221556886,-1.19760479041916,False,0.030033580847137153,0.4800827510502206,null_as_not_success,False
GPT-5.2-Codex,500,500,0,0.7065868263473054,0.7831325301204819,0.7245508982035929,-1.7964071856287456,False,0.03411147990411263,0.4776060737706614,null_as_not_success,False
GPT-5.4,500,500,0,0.7664670658682635,0.7951807228915663,0.7065868263473054,5.988023952095811,False,-0.03739203555325681,0.5251322751322751,null_as_not_success,False
GPT-5.5,500,500,0,0.7904191616766467,0.8072289156626506,0.7485029940119761,4.191616766467066,False,-0.028777561341715465,0.5201201342124405,null_as_not_success,True
Kimi-K2-Thinking,500,500,2,0.6946107784431138,0.7409638554216867,0.6407185628742516,5.389221556886225,False,-0.006122844710875923,0.5038285414007957,null_as_not_success,False
Kimi-K2.5,500,500,1,0.6586826347305389,0.7349397590361446,0.6706586826347305,-1.19760479041916,False,0.035290838250467256,0.4780113297555158,null_as_not_success,False
Kimi-K2.6,500,500,0,0.7245508982035929,0.7831325301204819,0.7305389221556886,-0.5988023952095745,False,0.021789068457726952,0.4855502311540816,null_as_not_success,True
Minimax-2.7,500,500,0,0.7245508982035929,0.7771084337349398,0.7664670658682635,-4.191616766467066,False,0.05552346262912422,0.46268106514008156,null_as_not_success,False
MiniMax-M2.1,500,500,0,0.6586826347305389,0.7469879518072289,0.6586826347305389,0.0,False,0.015252819921812119,0.4904964221824687,null_as_not_success,False
MiniMax-M2.5,500,500,0,0.718562874251497,0.7710843373493976,0.688622754491018,2.9940119760479056,False,0.0006679536864872674,0.49956767408658576,null_as_not_success,False
MiniMax-M3,500,500,0,0.7485029940119761,0.7891566265060241,0.7544910179640718,-0.5988023952095745,False,0.01922047414462925,0.4869331795190346,null_as_not_success,True
Nemotron-3-Nano,500,500,3,0.3473053892215569,0.3674698795180723,0.31137724550898205,3.592814371257486,False,-0.03702315720554934,0.522529728576761,null_as_not_success,False
Nemotron-3-Super,500,500,0,0.592814371257485,0.6686746987951807,0.5988023952095808,-0.5988023952095745,False,0.02709131289857476,0.4838879456706281,null_as_not_success,False
Qwen3-Coder-480B,500,500,0,0.6047904191616766,0.6746987951807228,0.592814371257485,1.19760479041916,False,0.02016760759634999,0.4879807692307693,null_as_not_success,False
Qwen3-Coder-Next,500,500,0,0.6467065868263473,0.6927710843373494,0.6586826347305389,-1.19760479041916,False,0.044759331704233504,0.47260434086781394,null_as_not_success,True
Qwen3.5-Flash,500,500,0,0.6107784431137725,0.6626506024096386,0.5868263473053892,2.395209580838331,False,-0.0042535359556244885,0.5025297113752122,null_as_not_success,False
Qwen3.6-Plus,500,500,0,0.7305389221556886,0.7710843373493976,0.7245508982035929,0.5988023952095745,False,0.03421877424294785,0.4774232641718381,null_as_not_success,False
Trinity-Large-Thinking,500,500,0,0.5508982035928144,0.6204819277108434,0.5329341317365269,1.7964071856287456,False,0.00900723126019833,0.49475091288471573,null_as_not_success,False
